run_id	step	reward
breakout_1656253812_89b07dc8	0	
breakout_1656253812_89b07dc8	3	2
breakout_1656253812_89b07dc8	6	1
breakout_1656253812_89b07dc8	8	
breakout_1656253812_89b07dc8	11	2
breakout_1656253812_89b07dc8	13	2
breakout_1656253812_89b07dc8	16	1
breakout_1656253812_89b07dc8	18	1
breakout_1656253812_89b07dc8	21	1
breakout_1656253812_89b07dc8	23	1
breakout_1656253812_89b07dc8	26	1
breakout_1656253812_89b07dc8	28	2
breakout_1656253812_89b07dc8	31	
breakout_1656253812_89b07dc8	33	
breakout_1656253812_89b07dc8	36	
breakout_1656253812_89b07dc8	39	1
breakout_1656253812_89b07dc8	41	
breakout_1656253812_89b07dc8	44	1
breakout_1656253812_89b07dc8	46	3
breakout_1656253812_89b07dc8	49	2
breakout_1656253812_89b07dc8	51	
breakout_1656253812_89b07dc8	54	2
breakout_1656253812_89b07dc8	56	
breakout_1656253812_89b07dc8	59	
breakout_1656253812_89b07dc8	61	1
breakout_1656253812_89b07dc8	64	4
breakout_1656253812_89b07dc8	66	
breakout_1656253812_89b07dc8	69	
breakout_1656253812_89b07dc8	72	
breakout_1656253812_89b07dc8	74	2
breakout_1656253812_89b07dc8	77	
breakout_1656253812_89b07dc8	79	1
breakout_1656253812_89b07dc8	82	1
breakout_1656253812_89b07dc8	84	1
breakout_1656253812_89b07dc8	87	3
breakout_1656253812_89b07dc8	89	5
breakout_1656253812_89b07dc8	92	
breakout_1656253812_89b07dc8	94	
breakout_1656253812_89b07dc8	97	
breakout_1656253812_89b07dc8	99	
breakout_1656253812_89b07dc8	102	1
breakout_1656253812_89b07dc8	105	
breakout_1656253812_89b07dc8	107	3
breakout_1656253812_89b07dc8	110	1
breakout_1656253812_89b07dc8	112	1
breakout_1656253812_89b07dc8	115	
breakout_1656253812_89b07dc8	117	1
breakout_1656253812_89b07dc8	120	
breakout_1656253812_89b07dc8	122	
breakout_1656253812_89b07dc8	125	3
breakout_1656253812_89b07dc8	127	
breakout_1656253812_89b07dc8	130	
breakout_1656253812_89b07dc8	132	1
breakout_1656253812_89b07dc8	135	
breakout_1656253812_89b07dc8	138	
breakout_1656253812_89b07dc8	140	2
breakout_1656253812_89b07dc8	143	
breakout_1656253812_89b07dc8	145	
breakout_1656253812_89b07dc8	148	
breakout_1656253812_89b07dc8	150	2
breakout_1656253812_89b07dc8	153	
breakout_1656253812_89b07dc8	155	1
