run_id	step	reward_sma
breakout_1656253812_89b07dc8	0	
breakout_1656253812_89b07dc8	3	0.42857142857142855
breakout_1656253812_89b07dc8	6	0.5
breakout_1656253812_89b07dc8	8	0.6
breakout_1656253812_89b07dc8	11	0.5833333333333334
breakout_1656253812_89b07dc8	14	0.6666666666666666
breakout_1656253812_89b07dc8	16	0.625
breakout_1656253812_89b07dc8	19	0.6
breakout_1656253812_89b07dc8	22	0.6190476190476191
breakout_1656253812_89b07dc8	24	0.625
breakout_1656253812_89b07dc8	27	0.64
breakout_1656253812_89b07dc8	30	0.7037037037037037
breakout_1656253812_89b07dc8	32	0.6896551724137931
breakout_1656253812_89b07dc8	35	0.6666666666666666
breakout_1656253812_89b07dc8	38	0.65625
breakout_1656253812_89b07dc8	40	0.6764705882352942
breakout_1656253812_89b07dc8	43	0.6944444444444444
breakout_1656253812_89b07dc8	46	0.6666666666666666
breakout_1656253812_89b07dc8	48	0.7272727272727273
breakout_1656253812_89b07dc8	51	0.8333333333333334
breakout_1656253812_89b07dc8	54	0.84
breakout_1656253812_89b07dc8	56	0.8392857142857143
breakout_1656253812_89b07dc8	59	0.85
breakout_1656253812_89b07dc8	62	0.9076923076923077
breakout_1656253812_89b07dc8	64	0.9285714285714286
breakout_1656253812_89b07dc8	67	1
breakout_1656253812_89b07dc8	70	0.9868421052631579
breakout_1656253812_89b07dc8	72	0.987012987012987
breakout_1656253812_89b07dc8	75	1.0227272727272727
breakout_1656253812_89b07dc8	78	1.0444444444444445
breakout_1656253812_89b07dc8	80	1.054945054945055
breakout_1656253812_89b07dc8	83	1.0543478260869565
breakout_1656253812_89b07dc8	86	1.0425531914893618
breakout_1656253812_89b07dc8	88	1.0315789473684212
breakout_1656253812_89b07dc8	91	1.0303030303030303
breakout_1656253812_89b07dc8	94	1.09
breakout_1656253812_89b07dc8	96	1.09
breakout_1656253812_89b07dc8	99	1.13
breakout_1656253812_89b07dc8	102	1.12
breakout_1656253812_89b07dc8	104	1.13
breakout_1656253812_89b07dc8	107	1.17
breakout_1656253812_89b07dc8	110	1.16
breakout_1656253812_89b07dc8	112	1.17
breakout_1656253812_89b07dc8	115	1.16
breakout_1656253812_89b07dc8	118	1.2
breakout_1656253812_89b07dc8	120	1.21
breakout_1656253812_89b07dc8	123	1.21
breakout_1656253812_89b07dc8	126	1.22
breakout_1656253812_89b07dc8	128	1.22
breakout_1656253812_89b07dc8	131	1.25
breakout_1656253812_89b07dc8	134	1.27
breakout_1656253812_89b07dc8	136	1.28
breakout_1656253812_89b07dc8	139	1.29
breakout_1656253812_89b07dc8	142	1.29
breakout_1656253812_89b07dc8	144	1.28
breakout_1656253812_89b07dc8	147	1.24
breakout_1656253812_89b07dc8	150	1.28
breakout_1656253812_89b07dc8	152	1.28
breakout_1656253812_89b07dc8	155	1.3
breakout_1656253812_89b07dc8	158	1.27
breakout_1656253812_89b07dc8	160	1.29
breakout_1656253812_89b07dc8	163	1.31
breakout_1656253812_89b07dc8	166	1.31
breakout_1656253812_89b07dc8	168	1.33
breakout_1656253812_89b07dc8	171	1.29
breakout_1656253812_89b07dc8	174	1.31
breakout_1656253812_89b07dc8	176	1.33
breakout_1656253812_89b07dc8	179	1.33
breakout_1656253812_89b07dc8	182	1.32
breakout_1656253812_89b07dc8	184	1.32
breakout_1656253812_89b07dc8	187	1.31
breakout_1656253812_89b07dc8	190	1.3
breakout_1656253812_89b07dc8	192	1.28
breakout_1656253812_89b07dc8	195	1.32
breakout_1656253812_89b07dc8	198	1.34
breakout_1656253812_89b07dc8	200	1.37
breakout_1656253812_89b07dc8	203	1.39
breakout_1656253812_89b07dc8	206	1.34
breakout_1656253812_89b07dc8	208	1.33
breakout_1656253812_89b07dc8	211	1.37
breakout_1656253812_89b07dc8	214	1.41
breakout_1656253812_89b07dc8	216	1.45
breakout_1656253812_89b07dc8	219	1.49
breakout_1656253812_89b07dc8	222	1.52
breakout_1656253812_89b07dc8	224	1.54
breakout_1656253812_89b07dc8	227	1.55
breakout_1656253812_89b07dc8	230	1.57
breakout_1656253812_89b07dc8	232	1.69
breakout_1656253812_89b07dc8	235	1.7
breakout_1656253812_89b07dc8	238	1.69
breakout_1656253812_89b07dc8	240	1.7
breakout_1656253812_89b07dc8	243	1.73
breakout_1656253812_89b07dc8	246	1.76
breakout_1656253812_89b07dc8	248	1.8
breakout_1656253812_89b07dc8	251	1.81
breakout_1656253812_89b07dc8	254	1.84
breakout_1656253812_89b07dc8	256	1.88
breakout_1656253812_89b07dc8	259	1.9
breakout_1656253812_89b07dc8	262	1.9
breakout_1656253812_89b07dc8	264	1.9
breakout_1656253812_89b07dc8	267	1.92
breakout_1656253812_89b07dc8	270	2.02
breakout_1656253812_89b07dc8	272	2.08
breakout_1656253812_89b07dc8	275	2.19
breakout_1656253812_89b07dc8	278	2.19
breakout_1656253812_89b07dc8	280	2.23
